nom_hotel,url,marque
CAMPANILE LYON EST - Aéroport Saint Exupéry,https://www.tripadvisor.fr/Hotel_Review-g608821-d565685-Reviews-Hotel_Campanile_Lyon_Est_Aeroport_Saint_Exupery-Saint_Laurent_de_Mure_Rhone_Auvergne_Rh.html,CAMPANILE
PREMIERE CLASSE ORLEANS NORD - Saran,https://www.tripadvisor.fr/Hotel_Review-g226854-d644470-Reviews-Hotel_Premiere_Classe_Orleans_Nord_Saran-Saran_Loiret_Centre_Val_de_Loire.html,PREMIERE CLASSE
PREMIERE CLASSE MONTPELLIER SUD - Lattes,https://www.tripadvisor.fr/Hotel_Review-g196606-d651066-Reviews-Premiere_Classe_Montpellier_Sud_Lattes-Lattes_Montpellier_Herault_Occitanie.html,PREMIERE CLASSE
CAMPANILE CERGY PONTOISE,https://www.tripadvisor.fr/Hotel_Review-g196585-d481730-Reviews-Campanile_Cergy_Pontoise-Pontoise_Cergy_Pontoise_Val_d_Oise_Ile_de_France.html,CAMPANILE
CAMPANILE BORDEAUX OUEST - Le Bouscat,https://www.tripadvisor.fr/Hotel_Review-g661216-d488532-Reviews-Campanile_Bordeaux_Ouest_Le_Bouscat-Le_Bouscat_Bordeaux_Gironde_Nouvelle_Aquitaine.html,CAMPANILE
CAMPANILE MOULINS - Avermes,https://www.tripadvisor.fr/Hotel_Review-g196522-d287103-Reviews-Campanile_Moulins_Avermes-Moulins_Allier_Auvergne_Rhone_Alpes.html,CAMPANILE
CAMPANILE NIMES CENTRE - Mas Carbonnel,https://www.tripadvisor.fr/Hotel_Review-g187154-d481749-Reviews-Hotel_Restaurant_Campanile_Nimes_Centre_Mas_Carbonnel-Nimes_Gard_Occitanie.html,CAMPANILE
PREMIERE CLASSE VALENCIENNES OUEST - Petite-Forêt,https://www.tripadvisor.fr/Hotel_Review-g661703-d488856-Reviews-Premiere_Classe_Valenciennes_Ouest_Petite_Foret-Petite_Foret_Nord_Hauts_de_France.html,PREMIERE CLASSE
CAMPANILE PARIS OUEST - Gennevilliers Port,https://www.tripadvisor.fr/Hotel_Review-g196567-d313102-Reviews-Campanile_Paris_Ouest_Gennevilliers_Port-Gennevilliers_Hauts_de_Seine_Ile_de_France.html,CAMPANILE
PREMIERE CLASSE BAYONNE,https://www.tripadvisor.fr/Hotel_Review-g187077-d651035-Reviews-Premiere_Classe_Bayonne-Bayonne_Basque_Country_Pyrenees_Atlantiques_Nouvelle_Aquitaine.html,PREMIERE CLASSE
PREMIERE CLASSE TARBES - Bastillac,PREMIERE CLASSE TARBES - Bastillac,PREMIERE CLASSE
PREMIERE CLASSE SALON DE PROVENCE,https://www.tripadvisor.fr/Hotel_Review-g187255-d2389025-Reviews-Premiere_Classe_Salon_De_Provence-Salon_de_Provence_Bouches_du_Rhone_Provence_Alpes_Co.html,PREMIERE CLASSE
PREMIERE CLASSE LYON EST - Bron Eurexpo,https://www.tripadvisor.fr/Hotel_Review-g1080938-d1068224-Reviews-Premiere_Classe_Lyon_Est_Bron_Eurexpo-Decines_Charpieu_Rhone_Auvergne_Rhone_Alpes.html,PREMIERE CLASSE
CAMPANILE TAVERNY,https://www.tripadvisor.fr/Hotel_Review-g1080267-d487803-Reviews-Campanile_Taverny-Taverny_Val_d_Oise_Ile_de_France.html,CAMPANILE
CAMPANILE MONTARGIS - Amilly,https://www.tripadvisor.fr/Hotel_Review-g661385-d593812-Reviews-Campanile_Montargis_Amilly-Amilly_Loiret_Centre_Val_de_Loire.html,CAMPANILE
CAMPANILE LENS,https://www.tripadvisor.fr/Hotel_Review-g661384-d488204-Reviews-Campanile_Lens-Lens_Pas_de_Calais_Hauts_de_France.html,CAMPANILE
CAMPANILE MONTPELLIER EST - Le Millénaire,https://www.tripadvisor.fr/Hotel_Review-g187153-d280104-Reviews-Campanile_Montpellier_Est_Le_Millenaire-Montpellier_Herault_Occitanie.html,CAMPANILE
PREMIERE CLASSE LILLE OUEST - Lomme,https://www.tripadvisor.fr/Hotel_Review-g656507-d644821-Reviews-Hotel_Premiere_Classe_Lille_Ouest_Lomme-Lomme_Lille_Nord_Hauts_de_France.html,PREMIERE CLASSE
PREMIERE CLASSE NIORT EST - Chauray,https://www.tripadvisor.fr/Hotel_Review-g196667-d481720-Reviews-Premiere_Classe_Niort_Est_Chauray-Niort_Deux_Sevres_Nouvelle_Aquitaine.html,PREMIERE CLASSE
PREMIERE CLASSE ORANGE,https://www.tripadvisor.fr/Hotel_Review-g187251-d650966-Reviews-Premiere_Classe_Orange-Orange_Vaucluse_Provence_Alpes_Cote_d_Azur.html,PREMIERE CLASSE
PREMIERE CLASSE MARNE LA VALLEE - Saint Thibault des Vignes,https://www.tripadvisor.fr/Hotel_Review-g1025641-d488675-Reviews-Premiere_Classe_MLV_Saint_Thibault_Des_Vignes-St_Thibault_des_Vignes_Marne_la_Vallee_S.html,PREMIERE CLASSE
CAMPANILE PARIS EST - Porte de Bagnolet,https://www.tripadvisor.fr/Hotel_Review-g196558-d1210085-Reviews-Hotel_Campanile_Paris_Est_Porte_De_Bagnolet-Bagnolet_Seine_Saint_Denis_Ile_de_France.html,CAMPANILE
CAMPANILE VILLEJUIF,https://www.tripadvisor.fr/Hotel_Review-g196593-d287168-Reviews-Campanile_Villejuif-Villejuif_Val_de_Marne_Ile_de_France.html,CAMPANILE
CAMPANILE PARIS OUEST - Chaville,https://www.tripadvisor.fr/Hotel_Review-g661461-d487811-Reviews-Campanile_Paris_Ouest_Chaville-Chaville_Hauts_de_Seine_Ile_de_France.html,CAMPANILE
CAMPANILE MEAUX,https://www.tripadvisor.fr/Hotel_Review-g196576-d287159-Reviews-Campanile_Meaux-Meaux_Seine_et_Marne_Ile_de_France.html,CAMPANILE
